2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,21.8,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,1.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.6,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,2.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.13,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.13,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.13,0.0,0.0,2.0,0.0,1.8,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.8,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.13,0.0,0.0,0.4,0.0,0.6,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.8,0.0,0.0,0.0,0.0,0.22,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.13,0.0,0.0,0.0,0.0,0.4,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.13,0.16,0.0,0.0,0.0,3.4,0.0,0.0,1.6,0.0,0.2,0.0,0.0,1.4,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.13,0.16,0.0,0.0,0.0,2.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.13,0.16,0.0,0.0,0.0,1.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.13,0.16,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.13,0.16,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.14,0.0,0.2,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.13,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.13,0.16,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.2,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.13,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.13,0.16,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.13,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
0.17,0.0,0.2,0.16,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.2,3.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0
0.17,0.23,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.17,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,1.6,0.0,0.0
0.17,0.0,0.0,0.16,2.2,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,3.4,0.0,0.0,0.6,0.0,0.0
0.17,0.0,0.0,0.16,3.2,0.13,0.16,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,2.4,0.0,0.0,0.8,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.13,0.16,0.0,0.2,0.0,0.0,0.2,1.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0
0.17,0.0,0.0,0.16,0.4,0.13,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.2,0.13,0.16,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,1.2,0.13,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.4,0.0,0.0
0.17,0.0,0.0,0.16,0.2,0.13,0.16,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,2.6,0.0,0.0
0.17,0.0,0.0,0.16,1.6,0.13,0.16,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0
0.17,0.0,0.0,0.16,0.8,0.13,0.16,0.0,0.6,5.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.15,6.2,0.0,0.0
0.17,0.0,0.0,0.16,0.4,0.13,0.16,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,7.4,0.0,0.0
0.17,0.2,0.0,0.16,0.2,0.13,0.16,0.2,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.13,0.16,0.0,0.0,0.6,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.15,8.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.8,0.2,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.17,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,2.2,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.4,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.6,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0
0.17,0.0,0.0,0.16,0.17,0.0,0.16,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.6,0.0,0.0,0.0,0.8,0.0,0.0
0.17,0.0,0.0,0.16,0.17,0.0,0.16,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.2,0.0,0.0,0.0,1.2,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,9.2,0.0,0.2,0.0,0.0,0.0,4.6,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,4.6,0.0,0.0,5.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,2.4,0.2,0.0,4.4,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,5.0,0.0,0.0,1.4,0.0,0.0
0.17,0.0,0.2,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,3.4,0.6,0.0,0.2,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.2,1.4,5.4,0.0,0.2,0.0,0.0
0.17,0.0,0.2,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.2,0.6,1.2,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,1.4,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.6,0.0,1.2,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.2,0.0,1.2,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.2,0.0,0.16,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.13,0.16,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.2,0.0,1.2,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.2,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.22,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
0.17,0.0,0.0,0.16,0.2,0.0,0.16,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.18,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,1.4,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.2,0.0,0.16,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.4,0.16,0.2,0.0,0.16,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,2.0,0.0,0.16,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,8.4,0.0,0.16,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.2,0.16,11.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,6.2,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2
0.17,0.0,0.0,0.16,1.4,0.0,0.16,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,3.6,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2
0.17,0.0,0.0,0.16,5.6,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.17,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,1.4,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.17,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.6,0.17,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,2.4,0.4,0.17,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.2,0.17,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.2,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.8,0.17,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.2,0.0,0.0,0.0,0.0,3.6,1.8,0.17,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.6,0.2,0.0,0.2,0.0,0.0,2.0,0.17,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,3.4,0.16,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.2,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.4,0.16,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.2,0.16,0.0,0.0,0.0,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0
0.17,0.0,0.4,0.16,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
0.17,0.0,0.2,0.16,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.6,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.17,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,3.8,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.2,0.0,0.16,0.0,0.0,0.16,0.0,1.8,0.0,5.2,0.0,0.0,26.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,3.6,0.0,27.6,0.0,0.0,14.8,0.0,0.0,0.6,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,4.2,0.0,13.4,0.0,0.0,2.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,4.8,0.0,5.2,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.8,33.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.4,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,5.8,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.15,0.0,0.2,0.0,0.6,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.15,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.15,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.15,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,3.4,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.15,0.0,3.2,0.0,0.4,0.0,0.0,0.0,0.4,2.8,0.0,0.0,0.0
0.17,0.2,0.0,0.16,0.0,0.0,0.0,0.0,0.15,0.0,3.8,0.0,0.0,0.0,0.0,0.2,2.2,0.2,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.15,0.0,7.2,0.0,0.2,0.0,1.8,0.0,0.6,1.0,0.0,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.15,0.0,5.0,0.0,0.0,0.0,3.4,0.0,0.6,0.0,0.2,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.2,0.0,0.0,0.15,0.0,6.6,0.0,0.0,0.2,2.2,0.0,0.6,0.0,0.4,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.15,0.0,10.4,0.2,0.0,0.0,2.2,0.0,0.0,0.2,0.2,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.15,0.0,9.4,0.0,0.0,0.0,2.4,0.0,0.0,1.4,0.2,0.0,0.0
0.17,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.15,0.0,17.4,0.0,0.0,0.0,1.8,0.0,0.2,1.6,0.2,0.0,0.2
