2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
-9999.0,0.0,0.0,0.0,-9999.0,-9999.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,-9999.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,-9999.0,0.2,-9999.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,-9999.0,0.0,0.0,1.4,0.0,4.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.2,0.0,4.4,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,5.2,0.0,0.0,0.0,1.6,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,5.0,0.0,0.0,0.0,,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,2.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.8,0.0,0.0,0.0,1.4,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,-9999.0,0.0,0.0,0.4,0.0,0.0,0.0,1.4,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-9999.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,1.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,9.4,0.0,-9999.0,0.0,0.0,1.4,-9999.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,1.4,-9999.0,-9999.0,0.0,0.0,0.8,-9999.0,0.0,-9999.0,0.0,0.0,0.0,0.8,0.6,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,2.0,-9999.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,3.2,2.2,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0,0.0,0.0,0.2,-9999.0,0.0,0.0,0.0,0.0,,0.4,0.2,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,0.0,2.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,10.2,-9999.0,-9999.0,0.0,0.0,1.8,-9999.0,0.0,-9999.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,2.4,-9999.0,0.0,0.0,0.0,0.0,,2.8,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.4,-9999.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,-9999.0,0.0,0.0,-9999.0,-9999.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.2,0.0,0.0,-9999.0,0.0,-9999.0,0.0,0.0,-9999.0,-9999.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,-9999.0,0.0,0.0,-9999.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,-9999.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,-9999.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,-9999.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,-9999.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,6.4,6.6,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,5.0,1.8,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.4,16.6,,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.6,7.2,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,2.0,0.0,0.0,0.0,0.8,0.2,,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,1.4,0.0,0.0,0.0,2.6,0.0,,0.0,0.0
-9999.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,1.2,0.0,0.0,0.0,0.8,0.2,,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,2.6,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,2.6,0.2,0.0,0.0,1.4,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
-9999.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,7.8,0.0,0.0
-9999.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,1.6,0.0,0.0
-9999.0,0.0,0.2,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
-9999.0,0.0,1.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
-9999.0,0.0,0.6,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.2,-9999.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.2,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.2,-9999.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.6,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,1.8,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.4,-9999.0,0.0,0.0,0.0,0.2,0.0,4.2,0.0,1.8,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.2,,0.2,0.0,1.6,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,,0.6,0.0,0.6,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.2,0.0,4.8,0.0,1.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,,0.4,0.2,0.2,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,-9999.0,0.0,0.0,0.2,-9999.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0
-9999.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.2,-9999.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.2,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.4,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.8,-9999.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.8,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.4,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.2,-9999.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0,0.2,0.0,0.2,-9999.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,1.0,0.0,0.0,0.0,-9999.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
-9999.0,1.0,5.6,0.0,0.0,-9999.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
-9999.0,0.0,3.0,0.0,0.0,-9999.0,-9999.0,0.0,0.0,0.0,-9999.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,4.4,0.0,0.0
-9999.0,0.0,6.2,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
-9999.0,-9999.0,2.6,0.0,0.0,1.2,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0
-9999.0,0.0,1.2,0.0,0.0,-9999.0,0.0,0.4,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
-9999.0,-9999.0,2.4,0.0,0.0,1.0,0.0,0.2,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
-9999.0,0.0,0.6,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,0.0,2.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
-9999.0,-9999.0,3.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,-9999.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,-9999.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,-9999.0,2.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,-9999.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9999.0,-9999.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.4,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0
-9999.0,0.0,-9999.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.2,1.4,0.0,0.0,0.0,0.0
-9999.0,0.0,-9999.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,-9999.0,0.0,5.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-9999.0,-9999.0,-9999.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,-9999.0,0.0,2.0,0.0,0.0,0.8,0.2,0.0,0.2,0.0,0.0
-9999.0,0.0,-9999.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.2,0.0,0.0,0.0,0.6,0.0,1.4,0.0,0.0
-9999.0,0.0,-9999.0,0.0,0.0,-9999.0,0.0,0.2,0.0,0.0,-9999.0,1.4,0.0,0.0,0.0,2.4,0.6,0.0,0.2,0.4,0.0
-9999.0,0.0,-9999.0,0.0,0.0,-9999.0,0.0,0.2,0.0,0.0,-9999.0,0.2,0.0,0.0,0.0,0.0,0.8,0.0,1.0,5.6,0.0
-9999.0,0.0,-9999.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,-9999.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,,2.8,0.0
-9999.0,0.0,-9999.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,-9999.0,1.4,0.0,0.0,0.0,0.0,3.0,0.0,0.2,1.0,0.0
-9999.0,0.0,-9999.0,0.0,0.0,-9999.0,0.0,2.4,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,,0.0,0.0
-9999.0,0.0,-9999.0,0.0,0.0,-9999.0,0.0,4.4,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,,0.4,0.0
-9999.0,0.0,-9999.0,0.0,0.0,-9999.0,-9999.0,3.6,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
-9999.0,0.0,-9999.0,0.0,0.0,-9999.0,-9999.0,2.4,0.0,0.0,-9999.0,0.0,0.2,0.0,0.0,6.0,0.0,0.0,,0.0,0.0
-9999.0,0.0,-9999.0,0.0,0.0,-9999.0,-9999.0,4.0,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,,0.0,0.0
-9999.0,-9999.0,-9999.0,0.0,0.0,-9999.0,-9999.0,3.6,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,,0.0,0.0
-9999.0,0.0,0.2,0.0,0.0,-9999.0,0.0,4.6,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,,0.0,0.0
-9999.0,0.0,-9999.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,-9999.0,0.0,0.0,0.2,0.0,3.0,0.0,0.0,,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,-9999.0,0.0,0.0,0.0,0.0,2.4,1.0,0.0,,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-9999.0,0.0,0.0,0.8,0.0,0.8,0.6,0.0,,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-9999.0,0.0,3.6,2.6,0.0,0.2,0.6,0.0,,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,-9999.0,0.0,0.0,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,-9999.0,0.0,3.0,0.8,0.0,0.0,1.4,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,-9999.0,0.0,0.4,4.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0
-9999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.2,0.0
-9999.0,0.0,-9999.0,0.0,0.0,-9999.0,0.0,1.8,0.0,0.0,-9999.0,0.0,0.2,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0
